,温度(室外),湿度(室外),气压(室外),湿度(室内),气压(室内),temperature
0,14.6,85.0,993.1,80.0,992.4,15.4
1,14.7,84.0,993.0,80.0,992.6,15.4
2,14.7,84.0,992.7,80.0,992.8,15.4
3,14.6,85.0,993.2,80.0,992.6,15.4
4,14.6,85.0,992.7,80.0,992.6,15.3
5,14.6,85.0,993.1,80.0,992.9,15.3
6,14.5,85.0,993.6,80.0,992.8,15.3
7,14.5,85.0,993.4,80.0,993.2,15.3
8,14.5,85.0,993.8,80.0,993.2,15.3
9,14.5,85.0,993.7,80.0,993.2,15.3
10,14.5,86.0,993.8,80.0,993.3,15.2
11,14.4,86.0,994.5,81.0,993.3,15.2
12,14.4,86.0,994.4,81.0,993.4,15.2
13,14.4,86.0,992.7,81.0,993.6,15.2
14,14.4,86.0,992.7,81.0,993.7,15.2
15,14.4,86.0,992.7,81.0,993.8,15.1
16,14.3,86.0,993.0,81.0,993.8,15.1
17,14.4,86.0,993.0,81.0,992.1,15.1
18,14.4,86.0,993.1,81.0,991.9,15.1
19,14.4,86.0,993.2,81.0,992.2,15.1
20,14.4,86.0,993.1,81.0,992.3,15.1
21,14.4,86.0,993.1,81.0,992.2,15.1
22,14.3,87.0,993.7,81.0,992.2,15.1
23,14.3,87.0,993.6,81.0,992.0,15.1
24,14.3,87.0,993.6,81.0,992.3,15.1
25,14.3,87.0,993.8,81.0,992.3,15.1
26,14.3,87.0,993.8,81.0,992.6,15.1
27,14.3,87.0,993.8,82.0,992.6,15.0
28,14.3,87.0,993.8,82.0,992.9,15.0
29,14.3,87.0,993.8,82.0,992.7,15.0
30,14.3,87.0,993.8,82.0,993.0,15.0
31,14.3,87.0,993.8,82.0,992.7,15.0
32,14.3,87.0,993.8,82.0,992.9,15.0
33,14.3,87.0,993.8,82.0,993.0,15.0
34,14.2,87.0,994.2,82.0,993.0,15.0
35,14.2,87.0,994.3,82.0,993.0,15.0
36,14.2,87.0,994.3,82.0,993.3,15.0
37,14.2,87.0,995.0,82.0,993.1,15.0
38,14.2,87.0,994.7,82.0,993.4,15.0
39,14.1,87.0,994.7,82.0,993.2,14.9
40,14.2,87.0,995.0,82.0,993.2,15.0
41,14.2,87.0,993.1,82.0,993.4,14.9
42,14.2,87.0,995.0,82.0,993.4,15.0
43,14.2,87.0,993.2,82.0,993.2,15.0
44,14.1,87.0,993.1,82.0,993.4,15.0
45,14.1,87.0,993.2,82.0,993.5,14.9
46,14.1,87.0,993.6,82.0,993.4,14.9
47,14.1,87.0,993.1,82.0,993.4,14.9
48,14.1,87.0,993.0,82.0,993.2,14.9
49,14.1,87.0,993.2,82.0,993.4,15.0
50,14.1,87.0,993.5,81.0,993.4,15.0
51,14.0,87.0,993.5,81.0,993.5,14.9
52,13.9,87.0,993.6,82.0,993.6,14.8
53,13.8,87.0,994.4,81.0,993.6,14.8
54,13.8,87.0,994.7,81.0,993.9,14.8
55,13.8,88.0,994.6,82.0,993.8,14.7
56,13.7,88.0,992.6,82.0,993.8,14.7
57,13.6,88.0,979.6,82.0,994.1,14.7
58,13.6,88.0,993.8,82.0,992.3,14.7
59,13.6,88.0,993.6,82.0,992.1,14.7
60,13.6,89.0,994.0,82.0,992.1,14.7
61,13.6,89.0,994.0,82.0,992.4,14.7
62,13.6,89.0,993.9,82.0,992.3,14.7
63,13.6,89.0,994.5,82.0,992.3,14.7
64,13.5,89.0,994.5,82.0,992.6,14.7
65,13.5,89.0,995.0,82.0,992.6,14.6
66,13.4,89.0,994.6,82.0,992.6,14.6
67,13.4,89.0,992.6,82.0,992.4,14.6
68,13.4,89.0,993.0,82.0,992.5,14.6
69,13.3,89.0,993.2,82.0,992.5,14.6
70,13.3,90.0,993.2,82.0,992.5,14.6
71,13.3,90.0,993.6,82.0,992.9,14.5
72,13.3,90.0,993.7,82.0,992.9,14.5
73,13.2,90.0,993.8,82.0,992.7,14.5
74,13.2,90.0,993.6,83.0,992.7,14.5
75,13.2,90.0,994.0,83.0,993.0,14.5
76,13.2,91.0,994.1,83.0,993.0,14.4
77,13.2,91.0,992.3,83.0,993.1,14.4
78,13.2,91.0,992.3,83.0,993.1,14.3
79,13.2,91.0,992.5,84.0,993.2,14.3
80,13.2,91.0,992.6,83.0,993.5,14.3
81,13.2,91.0,992.9,84.0,993.3,14.4
82,13.2,91.0,992.6,84.0,993.3,14.4
83,13.2,91.0,992.8,84.0,993.4,14.4
84,13.2,91.0,992.4,84.0,993.3,14.4
85,13.2,91.0,992.9,84.0,993.4,14.4
86,13.2,91.0,992.8,84.0,991.7,14.4
87,13.2,91.0,992.8,84.0,991.7,14.4
88,13.2,91.0,993.4,84.0,991.8,14.4
89,13.2,92.0,992.7,84.0,991.8,14.4
90,13.2,92.0,992.8,84.0,991.8,14.4
91,13.3,92.0,992.4,84.0,991.8,14.4
92,13.1,92.0,992.6,84.0,991.9,14.5
93,13.2,92.0,992.8,84.0,991.8,14.5
94,13.2,92.0,992.9,84.0,991.9,14.5
95,13.2,92.0,992.9,84.0,991.9,14.5
96,13.1,92.0,992.7,84.0,992.0,14.4
97,13.1,92.0,992.8,84.0,991.9,14.5
98,13.1,92.0,992.9,84.0,992.1,14.5
99,13.1,92.0,992.8,84.0,991.9,14.4
100,13.1,92.0,992.8,84.0,991.9,14.4
101,13.1,92.0,992.9,84.0,991.9,14.4
102,13.1,92.0,993.3,84.0,991.9,14.5
103,13.1,92.0,993.1,84.0,992.1,14.5
104,13.1,92.0,993.3,84.0,992.1,14.4
105,13.1,92.0,993.3,84.0,991.9,14.4
106,13.1,92.0,992.6,84.0,992.0,14.4
107,13.1,92.0,993.4,84.0,992.0,14.4
108,13.1,92.0,993.4,84.0,992.0,14.4
109,13.1,92.0,992.8,84.0,992.0,14.4
110,13.1,92.0,992.8,84.0,992.2,14.4
111,13.0,91.0,993.3,84.0,992.2,14.4
112,13.0,92.0,993.1,84.0,992.0,14.4
113,13.1,92.0,993.0,84.0,992.0,14.4
114,13.2,92.0,993.4,84.0,992.1,14.4
115,13.2,92.0,992.9,84.0,992.1,14.4
116,13.3,92.0,992.6,84.0,992.1,14.4
117,13.2,90.0,992.6,84.0,992.1,14.4
118,13.2,90.0,992.6,83.0,992.1,14.3
119,13.2,90.0,992.6,82.0,992.3,14.2
120,13.2,90.0,992.6,82.0,992.0,14.1
121,13.2,90.0,992.6,82.0,992.3,14.0
122,13.2,90.0,992.6,82.0,992.6,14.0
123,13.2,90.0,992.6,82.0,992.5,13.9
124,13.2,90.0,992.6,82.0,992.7,13.9
125,13.2,90.0,992.6,82.0,992.9,13.8
126,13.2,90.0,992.6,82.0,993.1,13.9
127,13.2,90.0,992.6,81.0,993.0,13.9
128,13.4,86.0,994.1,81.0,993.2,13.9
129,13.3,86.0,993.8,81.0,993.0,13.9
130,13.4,86.0,993.8,81.0,993.1,13.9
131,13.3,86.0,994.0,81.0,993.3,13.9
132,13.3,86.0,994.1,81.0,993.5,14.0
133,13.3,86.0,994.1,81.0,993.5,14.0
134,13.4,86.0,993.8,81.0,993.3,14.0
135,13.4,86.0,993.3,81.0,993.1,13.9
136,13.4,85.0,993.5,81.0,991.4,13.9
137,13.3,85.0,994.0,81.0,991.4,13.9
138,13.3,85.0,993.9,81.0,991.5,13.9
139,13.3,86.0,993.7,81.0,991.6,13.9
140,13.3,86.0,993.6,81.0,991.4,13.8
141,13.3,86.0,993.6,81.0,991.6,13.7
142,13.3,85.0,994.0,81.0,991.7,13.7
143,13.3,85.0,994.1,81.0,991.8,13.6
144,13.3,86.0,993.8,81.0,991.8,13.6
145,13.3,85.0,993.8,81.0,992.1,13.6
146,13.3,85.0,994.0,81.0,992.0,13.7
147,13.3,85.0,991.9,81.0,992.2,13.7
148,13.3,85.0,993.5,81.0,992.3,13.7
149,13.3,85.0,993.5,81.0,992.0,13.8
150,13.3,85.0,993.5,81.0,992.0,13.8
151,13.4,86.0,992.1,81.0,992.0,13.9
152,13.5,86.0,993.3,82.0,992.0,13.9
153,13.5,86.0,993.2,82.0,992.0,13.9
154,13.5,86.0,993.4,82.0,992.2,13.9
155,13.5,86.0,993.4,82.0,992.0,14.0
156,13.5,86.0,993.2,82.0,992.0,14.0
157,13.5,86.0,993.1,82.0,991.9,14.0
158,13.5,86.0,993.3,82.0,991.9,14.0
159,13.6,86.0,993.3,82.0,991.9,14.0
160,13.5,86.0,992.5,82.0,991.9,14.1
161,13.5,86.0,993.3,82.0,991.8,14.1
162,13.4,86.0,993.0,82.0,991.8,14.0
163,13.4,86.0,993.0,82.0,991.8,14.0
164,13.4,87.0,993.1,82.0,991.6,14.1
165,13.3,86.0,992.7,82.0,991.8,14.1
166,13.2,87.0,993.6,82.0,991.8,14.1
167,13.3,87.0,993.5,82.0,991.8,14.1
168,13.3,87.0,993.6,82.0,991.7,14.1
169,13.2,86.0,993.8,82.0,991.7,14.1
170,13.2,86.0,993.8,82.0,991.7,14.1
171,13.2,87.0,993.7,82.0,990.9,14.1
172,13.2,87.0,993.7,82.0,991.7,14.1
173,13.2,87.0,991.9,82.0,991.5,14.1
174,13.2,87.0,994.0,82.0,991.5,14.1
175,13.2,87.0,994.2,82.0,991.5,14.1
176,13.2,87.0,991.9,82.0,991.6,14.1
177,13.2,88.0,991.9,82.0,991.5,14.1
178,13.2,87.0,991.9,82.0,991.6,14.1
179,13.2,87.0,992.4,82.0,991.6,14.1
180,13.2,87.0,991.9,82.0,991.6,14.1
181,13.2,87.0,992.6,82.0,991.6,14.1
182,13.2,87.0,993.5,82.0,991.5,14.1
183,13.2,87.0,994.2,82.0,991.5,14.1
184,13.2,87.0,993.8,82.0,991.7,14.1
185,13.2,87.0,992.1,82.0,991.3,14.1
186,13.1,87.0,993.6,82.0,991.7,14.0
187,13.1,87.0,992.2,82.0,991.6,14.0
188,13.1,87.0,992.2,82.0,991.8,14.0
189,13.1,87.0,992.2,82.0,991.8,14.0
190,13.1,87.0,992.6,82.0,991.8,14.0
191,13.1,87.0,992.4,82.0,991.6,14.0
192,13.1,87.0,992.1,82.0,991.8,14.0
193,13.1,87.0,992.6,82.0,991.9,13.9
194,13.0,87.0,992.1,82.0,991.6,13.9
195,13.0,87.0,992.2,82.0,992.0,13.9
196,13.0,87.0,992.5,82.0,992.0,13.9
197,13.0,88.0,993.0,82.0,992.3,13.9
198,12.9,88.0,992.8,82.0,992.0,13.9
199,12.9,88.0,993.0,82.0,991.9,13.9
200,12.9,88.0,993.2,82.0,992.2,13.9
201,12.8,87.0,993.3,82.0,992.2,13.9
202,12.8,88.0,993.5,82.0,992.2,13.8
203,12.8,88.0,993.6,82.0,992.2,13.9
204,12.8,88.0,993.9,82.0,992.4,13.9
205,12.9,88.0,993.5,82.0,992.2,13.9
206,12.9,88.0,993.4,82.0,992.4,13.9
207,12.8,88.0,993.7,82.0,992.2,13.9
208,12.7,89.0,991.9,82.0,992.2,13.8
209,12.6,89.0,992.5,82.0,992.6,13.7
210,12.6,89.0,992.4,82.0,992.7,13.7
211,12.6,90.0,992.3,83.0,992.7,13.7
212,12.6,90.0,993.0,83.0,992.6,13.7
213,12.6,90.0,993.0,83.0,992.8,13.7
214,12.6,90.0,993.0,83.0,992.8,13.7
215,12.6,90.0,993.0,83.0,991.0,13.7
216,12.6,90.0,993.0,83.0,991.0,13.7
217,12.6,90.0,993.0,84.0,991.0,13.7
218,12.6,90.0,993.0,84.0,991.0,13.7
219,12.6,90.0,993.0,84.0,991.0,13.7
220,12.6,90.0,993.0,84.0,991.3,13.7
